2024-09-13 17:27:40 - Temperature: 28, Humidity: 29
2024-09-13 17:37:42 - Temperature: 28, Humidity: 29
2024-09-13 17:47:44 - Temperature: 28, Humidity: 30
2024-09-13 17:57:46 - Temperature: 28, Humidity: 31
2024-09-13 18:07:48 - Temperature: 27, Humidity: 32
2024-09-13 18:17:50 - Temperature: 27, Humidity: 33
2024-09-13 18:27:52 - Temperature: 27, Humidity: 33
2024-09-13 18:37:54 - Temperature: 27, Humidity: 34
2024-09-13 18:47:56 - Temperature: 27, Humidity: 35
2024-09-13 18:57:58 - Temperature: 27, Humidity: 34
2024-09-13 19:08:00 - Temperature: 27, Humidity: 33
2024-09-13 19:18:02 - Temperature: 27, Humidity: 34
2024-09-13 19:28:04 - Temperature: 27, Humidity: 34
2024-09-13 19:38:06 - Temperature: 27, Humidity: 34
2024-09-13 19:48:08 - Temperature: 27, Humidity: 35
2024-09-13 19:58:10 - Temperature: 27, Humidity: 35
2024-09-13 20:08:12 - Temperature: 27, Humidity: 35
2024-09-13 20:18:14 - Temperature: 27, Humidity: 35
2024-09-13 20:28:16 - Temperature: 27, Humidity: 34
2024-09-13 20:38:18 - Temperature: 27, Humidity: 33
2024-09-13 20:48:20 - Temperature: 27, Humidity: 33
2024-09-13 20:58:22 - Temperature: 27, Humidity: 33
2024-09-13 21:08:24 - Temperature: 27, Humidity: 33
2024-09-13 21:18:26 - Temperature: 27, Humidity: 34
2024-09-13 21:28:28 - Temperature: 27, Humidity: 35
2024-09-13 21:38:30 - Temperature: 27, Humidity: 35
2024-09-13 21:48:33 - Temperature: 27, Humidity: 35
2024-09-13 21:58:35 - Temperature: 27, Humidity: 35
2024-09-13 22:08:37 - Temperature: 27, Humidity: 35
2024-09-13 22:18:39 - Temperature: 27, Humidity: 36
2024-09-13 22:28:41 - Temperature: 27, Humidity: 38
2024-09-13 22:38:43 - Temperature: 27, Humidity: 39
2024-09-13 22:48:45 - Temperature: 27, Humidity: 39
2024-09-13 22:58:47 - Temperature: 27, Humidity: 41
2024-09-13 23:08:49 - Temperature: 27, Humidity: 40
2024-09-13 23:18:51 - Temperature: 27, Humidity: 41
2024-09-13 23:28:53 - Temperature: 27, Humidity: 41
2024-09-13 23:38:55 - Temperature: 27, Humidity: 41
2024-09-13 23:48:57 - Temperature: 27, Humidity: 41
2024-09-13 23:58:59 - Temperature: 27, Humidity: 41
2024-09-14 00:09:01 - Temperature: 27, Humidity: 41
2024-09-14 00:19:03 - Temperature: 26, Humidity: 41
2024-09-14 00:29:05 - Temperature: 26, Humidity: 41
2024-09-14 00:39:07 - Temperature: 26, Humidity: 41
2024-09-14 00:49:09 - Temperature: 26, Humidity: 41
2024-09-14 00:59:11 - Temperature: 26, Humidity: 42
2024-09-14 01:09:13 - Temperature: 26, Humidity: 42
2024-09-14 01:19:15 - Temperature: 26, Humidity: 42
2024-09-14 01:29:17 - Temperature: 26, Humidity: 43
2024-09-14 01:39:19 - Temperature: 26, Humidity: 43
2024-09-14 01:49:21 - Temperature: 26, Humidity: 44
2024-09-14 01:59:23 - Temperature: 26, Humidity: 43
2024-09-14 02:09:25 - Temperature: 26, Humidity: 43
2024-09-14 02:19:28 - Temperature: 26, Humidity: 44
2024-09-14 02:29:30 - Temperature: 26, Humidity: 45
2024-09-14 02:39:32 - Temperature: 26, Humidity: 46
2024-09-14 02:49:34 - Temperature: 26, Humidity: 48
2024-09-14 02:59:36 - Temperature: 26, Humidity: 49
2024-09-14 03:09:38 - Temperature: 26, Humidity: 50
2024-09-14 03:19:40 - Temperature: 26, Humidity: 50
2024-09-14 03:29:42 - Temperature: 26, Humidity: 51
2024-09-14 03:39:44 - Temperature: 26, Humidity: 51
2024-09-14 03:49:46 - Temperature: 26, Humidity: 51
2024-09-14 03:59:48 - Temperature: 26, Humidity: 51
2024-09-14 04:09:50 - Temperature: 26, Humidity: 51
2024-09-14 04:19:52 - Temperature: 25, Humidity: 51
2024-09-14 04:29:54 - Temperature: 25, Humidity: 52
2024-09-14 04:39:56 - Temperature: 25, Humidity: 52
2024-09-14 04:49:58 - Temperature: 25, Humidity: 52
2024-09-14 05:00:00 - Temperature: 25, Humidity: 52
2024-09-14 05:10:02 - Temperature: 25, Humidity: 52
2024-09-14 05:20:04 - Temperature: 25, Humidity: 52
2024-09-14 05:30:06 - Temperature: 25, Humidity: 52
2024-09-14 05:40:08 - Temperature: 25, Humidity: 52
2024-09-14 05:50:10 - Temperature: 25, Humidity: 52
2024-09-14 06:00:12 - Temperature: 25, Humidity: 52
2024-09-14 06:10:14 - Temperature: 25, Humidity: 53
2024-09-14 06:20:16 - Temperature: 25, Humidity: 53
2024-09-14 06:30:18 - Temperature: 25, Humidity: 53
2024-09-14 06:40:20 - Temperature: 25, Humidity: 53
2024-09-14 06:50:22 - Temperature: 25, Humidity: 54
2024-09-14 07:00:24 - Temperature: 25, Humidity: 54
2024-09-14 07:10:26 - Temperature: 25, Humidity: 54
2024-09-14 07:20:28 - Temperature: 25, Humidity: 54
2024-09-14 07:30:30 - Temperature: 25, Humidity: 54
2024-09-14 07:40:32 - Temperature: 25, Humidity: 53
2024-09-14 07:50:34 - Temperature: 25, Humidity: 53
2024-09-14 08:00:36 - Temperature: 25, Humidity: 53
2024-09-14 08:10:38 - Temperature: 25, Humidity: 53
2024-09-14 08:20:40 - Temperature: 24, Humidity: 53
2024-09-14 08:30:42 - Temperature: 24, Humidity: 53
2024-09-14 08:40:44 - Temperature: 24, Humidity: 53
2024-09-14 08:50:46 - Temperature: 24, Humidity: 53
2024-09-14 09:00:48 - Temperature: 24, Humidity: 54
2024-09-14 09:10:50 - Temperature: 24, Humidity: 54
2024-09-14 09:20:52 - Temperature: 25, Humidity: 53
2024-09-14 09:30:54 - Temperature: 24, Humidity: 54
2024-09-14 09:40:56 - Temperature: 24, Humidity: 54
2024-09-14 09:50:58 - Temperature: 24, Humidity: 54
2024-09-14 10:01:00 - Temperature: 25, Humidity: 54
2024-09-14 10:11:02 - Temperature: 25, Humidity: 54
2024-09-14 10:21:04 - Temperature: 25, Humidity: 54
2024-09-14 10:31:07 - Temperature: 24, Humidity: 54
2024-09-14 10:41:09 - Temperature: 25, Humidity: 54
2024-09-14 10:51:11 - Temperature: 25, Humidity: 54
2024-09-14 11:01:13 - Temperature: 25, Humidity: 55
2024-09-14 11:11:15 - Temperature: 25, Humidity: 55
2024-09-14 11:21:17 - Temperature: 24, Humidity: 55
2024-09-14 11:31:19 - Temperature: 24, Humidity: 55
2024-09-14 11:41:21 - Temperature: 25, Humidity: 56
2024-09-14 11:51:23 - Temperature: 25, Humidity: 56
2024-09-14 12:01:25 - Temperature: 25, Humidity: 55
2024-09-14 12:11:27 - Temperature: 25, Humidity: 55
2024-09-14 12:21:29 - Temperature: 25, Humidity: 55
2024-09-14 12:31:31 - Temperature: 25, Humidity: 54
2024-09-14 12:41:33 - Temperature: 25, Humidity: 54
2024-09-14 12:51:35 - Temperature: 25, Humidity: 53
2024-09-14 13:01:37 - Temperature: 25, Humidity: 53
2024-09-14 13:11:39 - Temperature: 25, Humidity: 52
2024-09-14 13:21:41 - Temperature: 25, Humidity: 52
2024-09-14 13:31:43 - Temperature: 25, Humidity: 52
2024-09-14 13:41:45 - Temperature: 25, Humidity: 52
2024-09-14 13:51:47 - Temperature: 25, Humidity: 52
2024-09-14 14:01:49 - Temperature: 25, Humidity: 53
2024-09-14 14:11:51 - Temperature: 25, Humidity: 53
2024-09-14 14:21:53 - Temperature: 25, Humidity: 53
2024-09-14 14:31:55 - Temperature: 25, Humidity: 52
2024-09-14 14:41:57 - Temperature: 25, Humidity: 53
2024-09-14 14:51:59 - Temperature: 25, Humidity: 53
2024-09-14 15:02:01 - Temperature: 25, Humidity: 53
2024-09-14 15:12:03 - Temperature: 25, Humidity: 53
2024-09-14 15:22:05 - Temperature: 25, Humidity: 54
2024-09-14 15:32:07 - Temperature: 25, Humidity: 54
2024-09-14 15:42:09 - Temperature: 25, Humidity: 54
2024-09-14 15:52:11 - Temperature: 26, Humidity: 54
2024-09-14 16:02:13 - Temperature: 26, Humidity: 54
2024-09-14 16:12:15 - Temperature: 26, Humidity: 55
2024-09-14 16:22:17 - Temperature: 26, Humidity: 55
2024-09-14 16:32:19 - Temperature: 26, Humidity: 55
2024-09-14 16:42:21 - Temperature: 26, Humidity: 55
2024-09-14 16:52:23 - Temperature: 26, Humidity: 55
2024-09-14 17:02:25 - Temperature: 26, Humidity: 55
2024-09-14 17:12:27 - Temperature: 26, Humidity: 55
2024-09-14 17:22:29 - Temperature: 26, Humidity: 55
2024-09-14 17:32:31 - Temperature: 26, Humidity: 55
2024-09-14 17:42:33 - Temperature: 26, Humidity: 54
2024-09-14 17:52:35 - Temperature: 26, Humidity: 53
2024-09-14 18:02:37 - Temperature: 26, Humidity: 52
2024-09-14 18:12:39 - Temperature: 26, Humidity: 50
2024-09-14 18:22:41 - Temperature: 26, Humidity: 50
2024-09-14 18:32:43 - Temperature: 25, Humidity: 50
2024-09-14 18:42:45 - Temperature: 25, Humidity: 50
2024-09-14 18:52:48 - Temperature: 25, Humidity: 50
2024-09-14 19:02:50 - Temperature: 25, Humidity: 51
2024-09-14 19:12:52 - Temperature: 25, Humidity: 51
2024-09-14 19:22:54 - Temperature: 25, Humidity: 52
2024-09-14 19:32:56 - Temperature: 25, Humidity: 52
2024-09-14 19:42:58 - Temperature: 25, Humidity: 52
2024-09-14 19:53:00 - Temperature: 25, Humidity: 52
2024-09-14 20:03:02 - Temperature: 25, Humidity: 53
2024-09-14 20:13:04 - Temperature: 25, Humidity: 53
2024-09-14 20:23:06 - Temperature: 25, Humidity: 54
2024-09-14 20:33:08 - Temperature: 25, Humidity: 54
2024-09-14 20:43:10 - Temperature: 25, Humidity: 55
2024-09-14 20:53:12 - Temperature: 25, Humidity: 55
2024-09-14 21:03:14 - Temperature: 25, Humidity: 55
2024-09-14 21:13:16 - Temperature: 25, Humidity: 55
2024-09-14 21:23:18 - Temperature: 25, Humidity: 56
2024-09-14 21:33:20 - Temperature: 25, Humidity: 56
2024-09-14 21:43:22 - Temperature: 25, Humidity: 56
2024-09-14 21:53:24 - Temperature: 25, Humidity: 57
2024-09-14 22:03:26 - Temperature: 25, Humidity: 58
2024-09-14 22:13:28 - Temperature: 25, Humidity: 58
2024-09-14 22:23:30 - Temperature: 25, Humidity: 58
2024-09-14 22:33:32 - Temperature: 25, Humidity: 57
2024-09-14 22:43:34 - Temperature: 24, Humidity: 57
2024-09-14 22:53:36 - Temperature: 24, Humidity: 57
2024-09-14 23:03:38 - Temperature: 24, Humidity: 57
2024-09-14 23:13:40 - Temperature: 24, Humidity: 56
2024-09-14 23:23:42 - Temperature: 24, Humidity: 55
2024-09-14 23:33:44 - Temperature: 24, Humidity: 54
2024-09-14 23:43:46 - Temperature: 24, Humidity: 54
2024-09-14 23:53:48 - Temperature: 24, Humidity: 55
2024-09-15 00:03:50 - Temperature: 24, Humidity: 55
2024-09-15 00:13:52 - Temperature: 24, Humidity: 54
2024-09-15 00:23:54 - Temperature: 24, Humidity: 55
2024-09-15 00:33:56 - Temperature: 24, Humidity: 55
2024-09-15 00:43:58 - Temperature: 24, Humidity: 55
2024-09-15 00:54:00 - Temperature: 24, Humidity: 54
2024-09-15 01:04:02 - Temperature: 24, Humidity: 54
2024-09-15 01:14:04 - Temperature: 24, Humidity: 53
2024-09-15 01:24:06 - Temperature: 23, Humidity: 52
2024-09-15 01:34:08 - Temperature: 23, Humidity: 51
2024-09-15 01:44:10 - Temperature: 23, Humidity: 50
2024-09-15 01:54:12 - Temperature: 23, Humidity: 50
